09/05,103117.04
09/05,103209.38
09/05,102977.5
09/05,102827.53
09/05,102974.91
09/05,102888.54
09/05,102993.94
10/05,103150.34
10/05,103193.13
10/05,103175.64
10/05,103323.71
10/05,103720.78
10/05,103706.99
10/05,103647.05
10/05,103783.46
10/05,103642.37
10/05,103429.18
10/05,103695.96
10/05,103662.34
10/05,103553.54
10/05,103271.51
10/05,103416.85
10/05,103297.11
10/05,103282.47
10/05,103258.48
10/05,103226.69
10/05,103662.84
10/05,103660.88
10/05,104710.19
10/05,104407.56
10/05,104032.5
11/05,103754.35
11/05,104056.37
11/05,104155.91
11/05,103870.88
11/05,103829.81
11/05,103593.92
11/05,103851.89
11/05,104334.49
11/05,104548.72
11/05,104596.7
11/05,104642.11
11/05,104172.26
11/05,104190.61
11/05,104154.21
11/05,103961.03
11/05,104038.33
11/05,104565.15
11/05,104461.61
11/05,104294.14
11/05,104332.66
11/05,103785.6
11/05,104083.02
11/05,104632.6
11/05,104010.93
12/05,103878.99
12/05,104025.99
12/05,104015.38
12/05,103922.93
12/05,104385.94
12/05,104345.65
12/05,104580.97
12/05,104442.92
12/05,104427.95
12/05,103839.46
12/05,103996.9
12/05,104265.08
12/05,102956.96
12/05,102540.51
12/05,102896.59
12/05,102638.94
12/05,101758.11
12/05,101821.25
12/05,102722.18
12/05,102535.07
12/05,102853.64
12/05,102822.92
12/05,102341.37
12/05,102438.5
13/05,102023.67
13/05,101749.06
13/05,102691.31
13/05,102374.74
13/05,102502.13
13/05,102663.91
13/05,102737.32
13/05,103476.26
13/05,103528.56
13/05,103711.1
13/05,103724.0
13/05,103707.02
13/05,103122.17
13/05,103635.83
13/05,103860.89
13/05,104193.25
13/05,104303.97
13/05,104778.26
13/05,104595.44
13/05,104328.03
13/05,104235.97
13/05,104184.49
13/05,103917.74
13/05,103858.6
14/05,103700.05
14/05,103556.46
14/05,103700.9
14/05,103878.53
14/05,103717.47
14/05,103663.55
14/05,103468.82
14/05,103293.13
14/05,103746.52
14/05,103975.28
14/05,104129.24
14/05,103949.56
14/05,103240.5
14/05,103411.59
14/05,103410.52
14/05,103236.43
14/05,103360.77
14/05,103462.92
14/05,103541.33
14/05,103616.56
14/05,103500.56
14/05,103546.47
14/05,103798.18
14/05,103147.88
15/05,103089.73
15/05,102815.84
15/05,102905.98
15/05,102431.02
15/05,102306.62
15/05,101842.96
15/05,102228.46
15/05,101775.76
15/05,101829.98
15/05,102312.39
15/05,102608.73
15/05,102271.11
15/05,101853.27
15/05,103086.8
15/05,103777.59
15/05,103977.54
15/05,103060.49
15/05,103087.37
15/05,103429.1
15/05,103169.6
15/05,103553.94
15/05,103782.37
15/05,103812.14
15/05,104095.83
16/05,104209.19
16/05,104106.85
16/05,103921.68
16/05,103957.38
16/05,103992.83
16/05,103754.42
16/05,103448.93
16/05,103745.43
16/05,103870.41
16/05,103672.29
16/05,103626.44
16/05,103878.15
16/05,103647.16
16/05,104160.57
16/05,104068.98
16/05,103976.81
16/05,103804.55
16/05,103846.91
